id,age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_allowed_loan
45972,40,125000,MORTGAGE,1,PERSONAL,21000,6.99,0.17,N,16,0,21000
7235,40,120000,OWN,4,DEBTCONSOLIDATION,20000,15.95,0.17,N,15,0,20000
10997,40,60000,MORTGAGE,13,HOMEIMPROVEMENT,20000,14.54,0.33,N,14,0,20000
13254,40,80000,OWN,10,PERSONAL,20000,18.62,0.25,N,14,0,20000
14864,40,72000,RENT,3,HOMEIMPROVEMENT,20000,13.47,0.28,N,16,0,20000
18625,40,78000,MORTGAGE,3,EDUCATION,20000,11.83,0.26,N,15,0,20000
46640,40,200000,MORTGAGE,3,VENTURE,20000,11.86,0.1,N,14,0,20000
50169,40,190000,OWN,0,EDUCATION,20000,6.03,0.1,N,14,0,20000
50227,40,130000,RENT,3,HOMEIMPROVEMENT,20000,14.09,0.15,N,13,0,20000
54246,40,109720,MORTGAGE,19,PERSONAL,20000,10.75,0.18,N,14,0,20000
56246,40,80000,MORTGAGE,5,MEDICAL,20000,13.23,0.25,N,12,0,20000
58036,40,98000,MORTGAGE,22,HOMEIMPROVEMENT,20000,9.88,0.2,N,16,0,20000
3057,40,96000,MORTGAGE,18,HOMEIMPROVEMENT,18000,15.27,0.19,N,12,0,18000
25530,40,100000,MORTGAGE,6,EDUCATION,18000,6.99,0.18,N,14,0,18000
32727,40,60000,MORTGAGE,2,MEDICAL,18000,10.37,0.31,N,14,0,18000
38863,40,550000,MORTGAGE,5,VENTURE,18000,11.12,0.03,N,13,0,18000
45676,40,142000,MORTGAGE,2,EDUCATION,18000,12.99,0.13,Y,14,0,18000
48072,40,80000,RENT,5,HOMEIMPROVEMENT,18000,10.99,0.23,N,16,0,18000
51798,40,79872,MORTGAGE,4,DEBTCONSOLIDATION,18000,12.68,0.23,N,12,0,18000
51939,40,50000,RENT,3,MEDICAL,18000,10.25,0.36,N,15,0,18000
11839,40,120000,MORTGAGE,4,PERSONAL,17625,7.49,0.15,N,17,0,17625
16976,40,108928,MORTGAGE,0,HOMEIMPROVEMENT,17600,14.27,0.15,Y,14,0,17600
20215,40,75000,MORTGAGE,0,VENTURE,17600,6.76,0.23,N,17,0,17600
14326,40,78301,MORTGAGE,5,MEDICAL,17000,6.62,0.22,N,13,0,17000
18432,40,54400,MORTGAGE,3,HOMEIMPROVEMENT,17000,12.99,0.28,Y,13,0,17000
23619,40,60000,RENT,0,EDUCATION,17000,11.71,0.28,N,13,0,17000
32547,40,70000,MORTGAGE,18,DEBTCONSOLIDATION,17000,11.12,0.24,N,12,0,17000
45142,40,60000,MORTGAGE,18,VENTURE,16750,7.88,0.28,N,14,0,16750
24043,40,200000,RENT,5,PERSONAL,16000,11.14,0.08,N,13,0,16000
48324,40,110000,MORTGAGE,5,EDUCATION,16000,10.25,0.15,N,13,0,16000
56853,40,67000,RENT,12,VENTURE,16000,9.99,0.24,N,13,0,16000
11140,40,56472,RENT,4,EDUCATION,15775,14.42,0.28,N,15,0,15775
3151,40,75000,MORTGAGE,0,HOMEIMPROVEMENT,15000,8.94,0.2,N,17,0,15000
8202,40,60000,MORTGAGE,2,HOMEIMPROVEMENT,15000,8.94,0.25,N,13,0,15000
13549,40,58000,MORTGAGE,9,HOMEIMPROVEMENT,15000,6.17,0.26,N,14,0,15000
14916,40,77000,MORTGAGE,5,MEDICAL,15000,12.21,0.19,N,14,0,15000
15566,40,50000,RENT,2,VENTURE,15000,11.26,0.3,N,15,0,15000
23813,40,60000,RENT,2,MEDICAL,15000,13.11,0.25,Y,14,0,15000
26499,40,150000,RENT,8,HOMEIMPROVEMENT,15000,10.25,0.1,N,13,0,15000
28140,40,60000,RENT,4,HOMEIMPROVEMENT,15000,14.96,0.25,Y,16,0,15000
32331,40,110000,RENT,2,DEBTCONSOLIDATION,15000,5.42,0.14,N,12,0,15000
32477,40,90000,RENT,1,MEDICAL,15000,14.26,0.17,Y,15,0,15000
32712,40,50000,RENT,6,EDUCATION,15000,16.89,0.3,N,17,0,15000
35072,40,60000,OWN,20,HOMEIMPROVEMENT,15000,13.43,0.25,Y,13,0,15000
37787,40,69996,OWN,2,EDUCATION,15000,12.84,0.21,N,11,0,15000
38814,40,70000,MORTGAGE,5,EDUCATION,15000,14.26,0.21,Y,15,0,15000
42584,40,53000,MORTGAGE,2,HOMEIMPROVEMENT,15000,10.62,0.28,N,15,0,15000
43976,40,58000,MORTGAGE,16,PERSONAL,15000,10.25,0.26,N,14,0,15000
47828,40,100000,MORTGAGE,4,HOMEIMPROVEMENT,15000,11.49,0.15,N,13,0,15000
48565,40,135000,MORTGAGE,0,PERSONAL,15000,13.47,0.11,Y,17,0,15000
51402,40,63000,MORTGAGE,3,HOMEIMPROVEMENT,15000,10.25,0.24,N,17,0,15000
50261,40,48000,MORTGAGE,17,MEDICAL,14750,9.91,0.29,N,15,0,14750
42265,40,42000,MORTGAGE,13,EDUCATION,14500,7.88,0.33,N,13,0,14500
27651,40,57000,RENT,0,DEBTCONSOLIDATION,14400,11.71,0.25,N,12,0,14400
36872,40,75000,RENT,2,EDUCATION,14400,14.72,0.19,Y,16,0,14400
708,40,110000,RENT,5,PERSONAL,14000,5.42,0.13,N,11,0,14000
12844,40,54996,RENT,1,VENTURE,14000,10.37,0.25,N,15,0,14000
15098,40,180000,MORTGAGE,6,MEDICAL,14000,14.27,0.08,Y,14,0,14000
17998,40,86500,OWN,24,EDUCATION,14000,7.29,0.16,N,12,0,14000
23802,40,140000,RENT,5,HOMEIMPROVEMENT,14000,7.88,0.1,N,13,0,14000
29498,40,70000,RENT,3,DEBTCONSOLIDATION,14000,13.49,0.2,Y,12,0,14000
31326,40,117600,MORTGAGE,8,DEBTCONSOLIDATION,14000,13.48,0.12,N,17,0,14000
41629,40,60000,RENT,2,HOMEIMPROVEMENT,14000,12.53,0.23,N,15,0,14000
50978,40,180000,MORTGAGE,8,EDUCATION,14000,11.99,0.08,N,11,0,14000
53468,40,115000,MORTGAGE,12,DEBTCONSOLIDATION,14000,6.03,0.12,N,16,0,14000
54136,40,115000,MORTGAGE,16,VENTURE,14000,6.03,0.12,N,13,0,14000
49959,40,54000,MORTGAGE,2,HOMEIMPROVEMENT,13200,7.88,0.25,N,16,0,13200
19464,40,63996,MORTGAGE,8,MEDICAL,13000,10.25,0.2,N,17,0,13000
28597,40,48000,RENT,5,VENTURE,13000,5.79,0.25,N,11,0,13000
36006,40,101877,RENT,8,HOMEIMPROVEMENT,12800,7.88,0.12,N,14,0,12800
52214,40,52000,RENT,2,HOMEIMPROVEMENT,12800,10.99,0.25,N,17,0,12800
1370,40,90000,MORTGAGE,19,VENTURE,12000,12.61,0.13,N,13,0,12000
2903,40,60000,MORTGAGE,15,PERSONAL,12000,14.27,0.2,N,16,0,12000
4061,40,65000,MORTGAGE,7,MEDICAL,12000,8.94,0.18,N,12,0,12000
5708,40,60000,RENT,5,HOMEIMPROVEMENT,12000,11.71,0.2,N,14,0,12000
12423,40,40000,RENT,2,EDUCATION,12000,7.9,0.3,N,11,0,12000
17095,40,60000,RENT,5,PERSONAL,12000,11.71,0.2,N,13,0,12000
18188,40,50000,RENT,4,HOMEIMPROVEMENT,12000,13.99,0.24,Y,16,0,12000
18945,40,132000,RENT,1,HOMEIMPROVEMENT,12000,12.87,0.09,N,16,0,12000
21626,40,55000,MORTGAGE,3,EDUCATION,12000,15.2,0.22,N,14,0,12000
24616,40,53000,RENT,7,PERSONAL,12000,16.77,0.23,N,16,0,12000
25436,40,150000,MORTGAGE,5,VENTURE,12000,7.29,0.08,N,17,0,12000
28875,40,60000,RENT,6,PERSONAL,12000,13.49,0.2,N,16,0,12000
29748,40,54000,RENT,4,DEBTCONSOLIDATION,12000,11.36,0.22,N,17,0,12000
30387,40,180000,RENT,2,DEBTCONSOLIDATION,12000,7.51,0.07,N,13,0,12000
33200,40,75000,MORTGAGE,7,PERSONAL,12000,7.88,0.17,N,13,0,12000
33475,40,55000,RENT,3,EDUCATION,12000,14.27,0.22,N,15,0,12000
34724,40,110000,MORTGAGE,0,MEDICAL,12000,10.37,0.11,N,15,0,12000
36271,40,50000,MORTGAGE,6,DEBTCONSOLIDATION,12000,10.37,0.24,N,14,0,12000
43211,40,130000,MORTGAGE,3,PERSONAL,12000,9.91,0.09,N,15,0,12000
47830,40,75000,MORTGAGE,3,MEDICAL,12000,7.51,0.16,N,13,0,12000
48808,40,90000,MORTGAGE,11,EDUCATION,12000,10,0.13,N,11,0,12000
50469,40,100000,MORTGAGE,0,HOMEIMPROVEMENT,12000,8.59,0.12,N,15,0,12000
50929,40,72000,RENT,3,PERSONAL,12000,14.27,0.17,Y,15,0,12000
52413,40,38000,OWN,10,VENTURE,12000,5.42,0.32,N,16,0,12000
56306,40,85000,OWN,16,VENTURE,12000,7.51,0.14,N,14,0,12000
56882,40,123735,MORTGAGE,8,PERSONAL,12000,7.88,0.1,N,12,0,12000
57948,40,110000,RENT,1,VENTURE,12000,6.99,0.11,N,15,0,12000
20953,40,130000,MORTGAGE,6,MEDICAL,11800,11.14,0.09,N,13,0,11800
7237,40,65000,RENT,6,MEDICAL,11500,12.87,0.18,Y,17,0,11500
36759,40,40000,RENT,0,PERSONAL,11500,14.26,0.28,N,12,0,11500
18322,40,95000,MORTGAGE,3,HOMEIMPROVEMENT,11200,14.27,0.12,N,16,0,11200
31460,40,50000,MORTGAGE,5,VENTURE,11000,5.99,0.22,N,14,0,11000
41438,40,130000,MORTGAGE,1,PERSONAL,11000,10.99,0.08,N,12,0,11000
6230,40,125000,RENT,3,VENTURE,10200,8.49,0.08,N,17,0,10200
39124,40,74000,RENT,7,MEDICAL,10200,12.53,0.14,N,17,0,10200
1533,40,57600,RENT,1,PERSONAL,10000,13.61,0.17,N,11,0,10000
4512,40,60000,MORTGAGE,12,DEBTCONSOLIDATION,10000,7.14,0.17,N,14,0,10000
4690,40,50000,MORTGAGE,2,EDUCATION,10000,15.28,0.2,Y,17,0,10000
5406,40,120000,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.37,0.08,N,12,0,10000
6046,40,90000,RENT,1,MEDICAL,10000,11.86,0.11,N,12,0,10000
9058,40,35640,MORTGAGE,2,MEDICAL,10000,7.88,0.28,N,11,0,10000
11669,40,150000,MORTGAGE,8,MEDICAL,10000,7.29,0.07,N,12,0,10000
12333,40,82000,OWN,10,EDUCATION,10000,9.99,0.12,N,11,0,10000
12800,40,63000,MORTGAGE,0,MEDICAL,10000,10.74,0.16,N,14,0,10000
14425,40,102000,MORTGAGE,2,MEDICAL,10000,9.63,0.1,N,14,0,10000
15656,40,36000,MORTGAGE,3,PERSONAL,10000,5.99,0.28,N,17,0,10000
16192,40,175500,MORTGAGE,2,HOMEIMPROVEMENT,10000,12.18,0.06,N,15,0,10000
19998,40,125000,RENT,3,EDUCATION,10000,14.27,0.08,N,15,0,10000
20391,40,42000,RENT,4,VENTURE,10000,7.9,0.24,N,15,0,10000
21477,40,85000,MORTGAGE,18,MEDICAL,10000,9.99,0.12,N,12,0,10000
21586,40,98000,MORTGAGE,5,VENTURE,10000,11.48,0.1,N,11,0,10000
21620,40,60000,MORTGAGE,12,VENTURE,10000,10.36,0.17,N,16,0,10000
21809,40,75996,MORTGAGE,15,MEDICAL,10000,6.91,0.13,N,16,0,10000
24574,40,200000,MORTGAGE,2,DEBTCONSOLIDATION,10000,7.9,0.05,N,14,0,10000
24588,40,40000,MORTGAGE,4,MEDICAL,10000,5.99,0.25,N,16,0,10000
24910,40,75000,MORTGAGE,0,EDUCATION,10000,10.95,0.13,N,14,0,10000
27382,40,60000,RENT,5,MEDICAL,10000,10.59,0.17,N,17,0,10000
28950,40,44000,RENT,4,VENTURE,10000,6.62,0.23,N,17,0,10000
29040,40,50000,RENT,5,VENTURE,10000,6.62,0.2,N,16,0,10000
31023,40,70000,RENT,2,EDUCATION,10000,10.65,0.14,N,12,0,10000
33472,40,38004,RENT,4,MEDICAL,10000,9.63,0.26,N,13,0,10000
35957,40,120000,MORTGAGE,2,MEDICAL,10000,11.99,0.08,N,11,0,10000
36504,40,60000,RENT,2,VENTURE,10000,13.43,0.17,Y,14,0,10000
37578,40,100000,OWN,16,MEDICAL,10000,7.49,0.1,N,17,0,10000
37688,40,60000,MORTGAGE,4,HOMEIMPROVEMENT,10000,7.88,0.17,N,16,0,10000
39837,40,112500,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.25,0.09,N,12,0,10000
42555,40,108288,MORTGAGE,13,DEBTCONSOLIDATION,10000,10.37,0.09,N,14,0,10000
42797,40,39000,MORTGAGE,6,HOMEIMPROVEMENT,10000,11.48,0.26,N,15,0,10000
52293,40,150000,MORTGAGE,5,EDUCATION,10000,7.9,0.07,N,13,0,10000
52478,40,60000,RENT,5,HOMEIMPROVEMENT,10000,13.43,0.17,N,17,0,10000
52699,40,80000,MORTGAGE,3,HOMEIMPROVEMENT,10000,11.49,0.13,N,17,0,10000
55136,40,67000,RENT,13,DEBTCONSOLIDATION,10000,10.74,0.15,N,14,0,10000
56908,40,50000,RENT,3,HOMEIMPROVEMENT,10000,6.62,0.2,N,15,0,10000
57064,40,70000,MORTGAGE,2,EDUCATION,10000,14.27,0.14,Y,12,0,10000
976,40,115000,RENT,16,EDUCATION,9975,7.49,0.09,N,14,0,9975
45555,40,114000,RENT,2,VENTURE,9975,11.49,0.09,N,16,0,9975
31656,40,106000,MORTGAGE,19,EDUCATION,9600,9.99,0.09,N,14,0,9600
27380,40,45760,MORTGAGE,2,PERSONAL,9125,11.11,0.2,N,11,0,9125
4597,40,75000,MORTGAGE,2,VENTURE,9000,5.79,0.12,N,14,0,9000
11285,40,118000,MORTGAGE,1,VENTURE,9000,14.11,0.07,N,14,0,9000
14687,40,92700,RENT,1,EDUCATION,9000,9.63,0.1,N,11,0,9000
18137,40,65000,MORTGAGE,5,MEDICAL,9000,10.99,0.14,N,13,0,9000
37552,40,170000,MORTGAGE,18,HOMEIMPROVEMENT,9000,9.45,0.05,N,11,0,9000
40157,40,45000,RENT,0,HOMEIMPROVEMENT,9000,12.61,0.19,Y,13,0,9000
41582,40,110000,MORTGAGE,3,PERSONAL,9000,13.72,0.08,Y,15,0,9000
49291,40,68000,MORTGAGE,4,EDUCATION,8700,15.58,0.12,Y,16,0,8700
3974,40,28800,OWN,0,VENTURE,8000,10.38,0.28,N,17,0,8000
4579,40,62000,MORTGAGE,3,HOMEIMPROVEMENT,8000,14.83,0.13,N,15,0,8000
5396,40,35000,OWN,2,PERSONAL,8000,16.29,0.23,Y,13,0,8000
6568,40,55000,MORTGAGE,2,VENTURE,8000,12.53,0.15,N,13,0,8000
6919,40,60000,RENT,1,HOMEIMPROVEMENT,8000,13.57,0.13,N,12,0,8000
13878,40,48000,RENT,15,DEBTCONSOLIDATION,8000,9.25,0.17,N,14,0,8000
18207,40,55000,MORTGAGE,5,PERSONAL,8000,8.49,0.15,N,14,0,8000
19962,40,60000,RENT,6,PERSONAL,8000,10.37,0.13,N,11,0,8000
28837,40,50000,MORTGAGE,5,MEDICAL,8000,5.99,0.16,N,11,0,8000
29700,40,69996,RENT,1,MEDICAL,8000,9.32,0.11,N,16,0,8000
31817,40,87000,RENT,2,EDUCATION,8000,12.21,0.09,N,11,0,8000
40882,40,70000,OWN,11,HOMEIMPROVEMENT,8000,13.61,0.11,N,15,0,8000
43896,40,61500,RENT,3,MEDICAL,8000,10.37,0.13,N,17,0,8000
44842,40,38400,RENT,2,PERSONAL,8000,12.42,0.21,N,11,0,8000
45354,40,89440,OWN,8,HOMEIMPROVEMENT,8000,11.86,0.09,N,16,0,8000
45395,40,150000,MORTGAGE,3,HOMEIMPROVEMENT,8000,9.62,0.05,N,17,0,8000
46261,40,30000,RENT,0,MEDICAL,8000,9.63,0.27,N,14,0,8000
48764,40,60000,RENT,5,PERSONAL,8000,7.51,0.13,N,15,0,8000
49370,40,45000,RENT,3,MEDICAL,8000,10.38,0.18,N,17,0,8000
53556,40,40000,RENT,2,VENTURE,8000,11.36,0.2,N,14,0,8000
54833,40,90000,MORTGAGE,12,VENTURE,8000,7.66,0.09,N,14,0,8000
55339,40,115600,MORTGAGE,4,HOMEIMPROVEMENT,8000,7.88,0.07,N,11,0,8000
55792,40,85000,MORTGAGE,18,VENTURE,8000,7.88,0.09,N,17,0,8000
15455,40,36000,RENT,5,MEDICAL,7600,6.03,0.21,N,14,0,7600
3056,40,55000,RENT,2,EDUCATION,7500,10.65,0.14,N,14,0,7500
5009,40,170004,RENT,18,EDUCATION,7500,12.68,0.04,N,17,0,7500
6576,40,177600,MORTGAGE,11,EDUCATION,7500,11.86,0.04,N,11,0,7500
18799,40,132000,RENT,3,HOMEIMPROVEMENT,7500,7.9,0.06,N,11,0,7500
26752,40,85000,MORTGAGE,7,MEDICAL,7500,11.86,0.09,N,16,0,7500
35168,40,48000,RENT,3,MEDICAL,7500,10.99,0.16,N,15,0,7500
39436,40,50000,RENT,5,HOMEIMPROVEMENT,7500,14.27,0.15,N,14,0,7500
35254,40,64000,RENT,2,MEDICAL,7200,6.62,0.11,N,11,0,7200
3263,40,32400,MORTGAGE,12,VENTURE,7125,7.51,0.23,N,11,0,7125
57597,40,69930,MORTGAGE,8,PERSONAL,7125,6.62,0.1,N,16,0,7125
1022,40,84000,RENT,5,HOMEIMPROVEMENT,7000,6.91,0.08,N,13,0,7000
4840,40,149000,MORTGAGE,25,HOMEIMPROVEMENT,7000,10.59,0.05,N,14,0,7000
12284,40,28800,RENT,1,VENTURE,7000,7.49,0.25,N,13,0,7000
14044,40,150000,MORTGAGE,1,MEDICAL,7000,11.71,0.05,N,14,0,7000
18540,40,70000,MORTGAGE,1,EDUCATION,7000,7.29,0.1,N,16,0,7000
21597,40,100000,RENT,1,HOMEIMPROVEMENT,7000,9.63,0.07,N,17,0,7000
29269,40,50000,MORTGAGE,5,HOMEIMPROVEMENT,7000,7.49,0.14,N,11,0,7000
32374,40,55000,MORTGAGE,5,VENTURE,7000,9.99,0.13,N,14,0,7000
32655,40,225000,MORTGAGE,3,EDUCATION,7000,9.99,0.03,N,16,0,7000
34032,40,75000,MORTGAGE,17,EDUCATION,7000,5.42,0.09,N,14,0,7000
35939,40,60000,MORTGAGE,7,HOMEIMPROVEMENT,7000,6.76,0.12,N,16,0,7000
39471,40,125000,MORTGAGE,5,MEDICAL,7000,11.71,0.06,N,12,0,7000
42517,40,120000,MORTGAGE,3,MEDICAL,7000,10.65,0.06,N,13,0,7000
42893,40,30000,OWN,5,EDUCATION,7000,9.32,0.23,N,11,0,7000
44475,40,96000,MORTGAGE,0,PERSONAL,7000,8.94,0.07,N,16,0,7000
47801,40,120000,MORTGAGE,12,HOMEIMPROVEMENT,7000,5.79,0.06,N,11,0,7000
49174,40,60000,MORTGAGE,5,VENTURE,7000,10,0.12,N,14,0,7000
50376,40,27600,OWN,4,PERSONAL,7000,11.11,0.25,N,16,0,7000
54674,40,60000,MORTGAGE,2,DEBTCONSOLIDATION,7000,7.88,0.12,N,11,0,7000
56909,40,60000,RENT,0,PERSONAL,7000,8.94,0.12,N,14,0,7000
25998,40,53000,RENT,6,PERSONAL,6800,12.84,0.13,N,11,0,6800
8746,40,48000,MORTGAGE,10,VENTURE,6700,5.99,0.14,N,11,0,6700
1340,40,72000,MORTGAGE,16,VENTURE,6400,5.79,0.09,N,15,0,6400
10186,40,45600,MORTGAGE,6,EDUCATION,6250,9.32,0.14,N,16,0,6250
338,40,120000,MORTGAGE,18,HOMEIMPROVEMENT,6000,6.03,0.05,N,14,0,6000
1830,40,63000,RENT,5,HOMEIMPROVEMENT,6000,7.74,0.09,N,17,0,6000
6656,40,60000,RENT,0,DEBTCONSOLIDATION,6000,10.65,0.1,N,14,0,6000
12803,40,54000,MORTGAGE,10,PERSONAL,6000,7.14,0.11,N,12,0,6000
15259,40,102000,MORTGAGE,6,HOMEIMPROVEMENT,6000,9.99,0.06,N,16,0,6000
16510,40,30000,RENT,4,PERSONAL,6000,7.49,0.2,N,14,0,6000
16566,40,102000,MORTGAGE,4,EDUCATION,6000,7.51,0.06,N,11,0,6000
17674,40,120000,OWN,12,HOMEIMPROVEMENT,6000,8.88,0.05,N,14,0,6000
20017,40,120000,MORTGAGE,3,HOMEIMPROVEMENT,6000,7.14,0.05,N,14,0,6000
22674,40,95000,MORTGAGE,4,PERSONAL,6000,12.99,0.06,Y,16,0,6000
23108,40,110000,RENT,2,MEDICAL,6000,8.94,0.05,N,13,0,6000
28036,40,61500,MORTGAGE,5,HOMEIMPROVEMENT,6000,11.48,0.1,N,13,0,6000
34107,40,60000,RENT,3,HOMEIMPROVEMENT,6000,10.99,0.1,N,16,0,6000
36954,40,50000,RENT,5,DEBTCONSOLIDATION,6000,14.27,0.12,N,17,0,6000
38807,40,90000,MORTGAGE,2,PERSONAL,6000,10.62,0.07,N,16,0,6000
39691,40,92004,RENT,4,MEDICAL,6000,10.37,0.07,N,16,0,6000
41264,40,69000,RENT,3,MEDICAL,6000,10,0.09,N,11,0,6000
42103,40,72000,MORTGAGE,0,HOMEIMPROVEMENT,6000,5.42,0.08,N,11,0,6000
42428,40,55000,MORTGAGE,6,VENTURE,6000,11.99,0.11,N,14,0,6000
43108,40,90000,MORTGAGE,12,PERSONAL,6000,11.11,0.07,N,11,0,6000
45674,40,37000,RENT,2,MEDICAL,6000,5.99,0.16,N,16,0,6000
45734,40,140000,MORTGAGE,8,EDUCATION,6000,9.64,0.04,N,13,0,6000
46978,40,75000,MORTGAGE,7,MEDICAL,6000,11.12,0.08,N,16,0,6000
48935,40,142000,RENT,2,DEBTCONSOLIDATION,6000,10.38,0.04,N,17,0,6000
50242,40,89796,MORTGAGE,2,VENTURE,6000,6.62,0.07,N,17,0,6000
53178,40,60000,RENT,2,PERSONAL,6000,8.94,0.1,N,12,0,6000
55039,40,50000,RENT,3,PERSONAL,6000,6.76,0.12,N,12,0,6000
57339,40,39500,RENT,1,DEBTCONSOLIDATION,5600,7.9,0.14,N,15,0,5600
11895,40,59484,MORTGAGE,13,VENTURE,5500,10.99,0.09,N,10,0,5500
25607,40,64000,MORTGAGE,8,MEDICAL,5500,10.62,0.08,N,14,0,5500
55429,40,54000,RENT,2,EDUCATION,5500,8.59,0.1,N,11,0,5500
51028,40,25000,RENT,2,PERSONAL,5475,6.62,0.22,N,14,0,5475
24320,40,150000,MORTGAGE,4,MEDICAL,5200,12.69,0.03,N,11,0,5200
802,40,37000,RENT,2,VENTURE,5000,9.99,0.14,N,11,0,5000
1260,40,300000,RENT,6,DEBTCONSOLIDATION,5000,10.37,0.02,N,11,0,5000
2392,40,154000,MORTGAGE,18,PERSONAL,5000,16.45,0.03,Y,11,0,5000
5141,40,70000,MORTGAGE,2,EDUCATION,5000,7.88,0.07,N,16,0,5000
5269,40,60000,RENT,5,EDUCATION,5000,7.9,0.08,N,13,0,5000
5875,40,30000,MORTGAGE,1,DEBTCONSOLIDATION,5000,7.14,0.17,N,13,0,5000
9664,40,80000,MORTGAGE,3,VENTURE,5000,5.42,0.06,N,14,0,5000
10743,40,48000,MORTGAGE,3,HOMEIMPROVEMENT,5000,14.27,0.1,Y,15,0,5000
12729,40,32004,RENT,2,VENTURE,5000,9.32,0.16,N,14,0,5000
13332,40,48000,MORTGAGE,5,DEBTCONSOLIDATION,5000,7.51,0.1,N,16,0,5000
14718,40,75000,RENT,6,EDUCATION,5000,11.49,0.07,N,12,0,5000
15422,40,95000,RENT,2,MEDICAL,5000,14.79,0.05,Y,14,0,5000
17971,40,90000,RENT,1,DEBTCONSOLIDATION,5000,13.57,0.06,Y,15,0,5000
18437,40,50000,RENT,4,DEBTCONSOLIDATION,5000,10.37,0.1,N,14,0,5000
18454,40,45000,RENT,6,VENTURE,5000,14.79,0.11,Y,14,0,5000
18905,40,35000,RENT,2,MEDICAL,5000,13.22,0.14,N,15,0,5000
18910,40,130000,MORTGAGE,8,VENTURE,5000,13.16,0.04,Y,13,0,5000
20188,40,80000,RENT,6,PERSONAL,5000,12.87,0.06,N,13,0,5000
21943,40,36000,RENT,2,MEDICAL,5000,10.37,0.14,N,16,0,5000
23580,40,60000,RENT,5,EDUCATION,5000,11.86,0.08,N,12,0,5000
25455,40,70000,MORTGAGE,0,MEDICAL,5000,11.78,0.07,Y,11,0,5000
26113,40,25000,OWN,2,PERSONAL,5000,9.62,0.2,N,15,0,5000
28873,40,36000,RENT,0,MEDICAL,5000,13.22,0.14,N,16,0,5000
33354,40,60000,OWN,18,PERSONAL,5000,13.85,0.08,Y,15,0,5000
38691,40,54000,RENT,0,MEDICAL,5000,5.42,0.09,N,13,0,5000
39336,40,110000,MORTGAGE,1,EDUCATION,5000,9.63,0.05,N,11,0,5000
44025,40,50000,MORTGAGE,4,HOMEIMPROVEMENT,5000,7.14,0.1,N,17,0,5000
45565,40,45000,MORTGAGE,3,PERSONAL,5000,6.99,0.11,N,15,0,5000
45805,40,54000,MORTGAGE,20,PERSONAL,5000,7.14,0.09,N,17,0,5000
46029,40,100000,RENT,0,MEDICAL,5000,7.75,0.05,N,17,0,5000
48497,40,55236,RENT,17,HOMEIMPROVEMENT,5000,15.05,0.09,Y,14,0,5000
50219,40,42000,RENT,2,MEDICAL,5000,5.79,0.12,N,15,0,5000
51377,40,36000,RENT,2,MEDICAL,5000,9.63,0.14,N,16,0,5000
55276,40,36000,RENT,2,EDUCATION,5000,9.99,0.14,N,17,0,5000
56636,40,60000,MORTGAGE,1,PERSONAL,5000,11.14,0.08,N,17,0,5000
57508,40,31200,MORTGAGE,4,HOMEIMPROVEMENT,5000,10.65,0.16,N,11,0,5000
8909,40,54096,RENT,3,VENTURE,4900,10.96,0.09,N,14,0,4900
